Course Code,Course name
IS111,Introduction to Programming
IS112,Data Management
IS113,Web Application Development I
IS114,Computing Fundamentals
IS210,Business Process Analysis & Solutioning
IS211,Interactive Design & Prototyping
IS212,Software Project Management
IS213,Enterprise Solution Development
IS214,Enterprise Solution Management
IS215,Digital Business Technology & Transformation
IS216,Web Application Development II
IS482,IS Project Experience
CS420,Introduction to Artificial Intelligence
CS421,Principles of Machine Learning
IS434,Social Analytics & Applications
IS450,Text Mining and Language Processing
IS451,Digital Analytics Technology
IS428,Visual Analytics for Business Intelligence
IS424,Data Mining & Business Analytics
IS217,Analytics Foundations
SMT201,Geographic Information Systems for Urban Planning
IS446,Managing Customer Relations with Analytics: Asian Insights
IS453,Financial Analytics
CS201,Data Structures and Algorithms 
CS202,Design and Analysis of Algorithms
IS425,Digital Transformation Strategy 
IS412,Enterprise Business Solutions 
CS460,Foundations of Cyber-Physical Systems
CS440,Foundations of Cybersecurity 
CS462,IoT: Technology & Applications 
CS301 ,IT Solution Architecture 
CS461,Mobile & Pervasive Computing and Applications 
IS442,Object Oriented Programming 
IS404,Technopreneurship Study Mission (Asia) 
IS405,Technopreneurship Study Mission (Non-Asia) 
IS452,Blockchain Applications in Financial Srvices
IS444,Digital Banking Enterprise Architecture
IS430,Digital Payments & Innovation
IS423,Financial Markets Processes & Technology
IS484,IS Project Experience (Fin Tech)
IS419,Retail Banking & Mobile Technology
IS445,Corporate Banking Technology
IS461,AI Governance
SMT203,Computional Social Science: Principles and Applicatons
IS463,Digital Technologies for Environmental Sustainability
IS457,Fairness in Socio-Technical Systems
POSC101,Introduction to Public Policy
IS447,Smart Healthcare in Asia
SMT481,Smart-City Operations Research
SMT401,Social Technopreneurship Study Mission
SMT112,Sustainable Digital Cities
SMT202,Analytics Applications for Smart Living
